ALUM        y
ALUM-DECK   y
ALUMINUM    y
ASHP-G      y
ASPH        y
ASPH-CONC   y
ASPH-CONC-F y
ASPH-CONC-G y
ASPH-CONC-P y
ASPH-DIRT   y
ASPH-DIRT-F y
ASPH-DIRT-G y
ASPH-DIRT-P y
ASPH-F      y
ASPH-G      y
ASPH-GRVD   y
ASPH-GRVD-F y
ASPH-GRVD-G y
ASPH-GRVL   y
ASPH-GRVL-F y
ASPH-GRVL-G y
ASPH-GRVL-P y
ASPH-P      y
ASPH-TRTD   y
ASPH-TRTD-F y
ASPH-TRTD-G y
ASPH-TRTD-P y
ASPH-TURF   y
ASPH-TURF-F y
ASPH-TURF-G y
ASPH-TURF-P y
BRICK       y
BRICK-F     y
CONC        y
CONC-ASPH   y
CONC-ASPH-F y
CONC-ASPH-G y
CONC-DIRT   y
CONC-F      y
CONC-G      y
CONC-GRVD   y
CONC-GRVL   y
CONC-GRVL-F y
CONC-P      y
CONC-TRTD-G y
CONC-TURF   y
CONC-TURF-F y
CONC-TURF-G y
CORAL       y
CORAL-F     y
DECK        y
DIRT        n
DIRT-F      n
DIRT-G      n
DIRT-GRVL   n
DIRT-GRVL-F n
DIRT-GRVL-G n
DIRT-GRVL-P n
DIRT-P      n
DIRT-SAND   n
DIRT-TRTD   n
DIRT-TRTD-F n
DIRT-TURF   n
DIRT-TURF-F n
DIRT-TURF-G n
DIRT-TURF-P n
GRASS       n
GRAVEL      n
GRAVEL-F    n
GRAVEL-G    n
GRAVEL-P    n
GRAVEL-TRT  n
GRAVEL-TUR  n
GRVL        n
GRVL-ASPH-F n
GRVL-DIRT   n
GRVL-DIRT-F n
GRVL-DIRT-G n
GRVL-DIRT-P n
GRVL-F      n
GRVL-G      n
GRVL-P      n
GRVL-TRDT-G n
GRVL-TRT-F  n
GRVL-TRTD   n
GRVL-TRTD-F n
GRVL-TRTD-G n
GRVL-TRTD-P n
GRVL-TURF   n
GRVL-TURF-F n
GRVL-TURF-G n
GRVL-TURF-P n
MATS        n
MATS-G      n
METAL       y
NEOPRENE    n
PFC         n
PSP         n
ROOF-TOP    y
ROOFTOP     y
SAND        n
SAND-F      n
SOD         n
STEEL       y
STEEL-CONC  y
TREATED     n
TREATED-F   n
TRTD        n
TRTD-ASPH   n
TRTD-DIRT   n
TRTD-DIRT-F n
TRTD-DIRT-G n
TRTD-DIRT-P n
TRTD-G      n
TRTD-GRVL   n
TRTD-GRVL-F n
TRTD-TURF   n
TRTD-TURF-F n
TURF        n
TURF-ASPH   n
TURF-ASPH-F n
TURF-ASPH-G n
TURF-CONC   n
TURF-DIRT   n
TURF-DIRT-F n
TURF-DIRT-G n
TURF-DIRT-P n
TURF-F      n
TURF-G      n
TURF-GRASS  n
TURF-GRVL   n
TURF-GRVL-F n
TURF-GRVL-G n
TURF-GRVL-P n
TURF-P      n
TURF-SAND-F n
TURFG       n
UNKNOWN     n
WATER       n
WATER-G     n
WATER-P     n
WOOD        y
ASP     y
BIT     y
BRI     y
CLA     n
COM     n
CON     y
COP     n
COR     n
GRE     n
GRS     n
GVL     n
ICE     n
LAT     y
MAC     y
PEM     y
PER     n
PSP     n
SAN     n
SNO     n
U       n
ALPHALT  y
ASP       y
ASP/TURF   y
ASPHALT     y
ASPHALT/GRAVEL y
ASPHALT/TURF   y
CLAY           n
CLAY/GRAVEL    n
CLAY/GRAVEL/TU n
CLAY/GRVL      n
CLAY/SAND      n
CLAY/TURF      n
CLOSED         n
CONCRETE       y
CRUSHED ROCK   n
EARTH          n
EARTH/SNOW     n
EARTH/TURF     n
GRASS          n
GRASS&GRAVEL   n
GRASS/CENTRE G n
GRASS/GRAVEL   n
GRASS/SNOW     n
GRAVEL         n
GRAVEL/CLAY    n
GRAVEL/CLAY/SA n
GRAVEL/GRASS   n
GRAVEL/SAND    n
GRAVEL/SAND/CL n
GRAVEL/TURF    n
GRAVELLY LOAM  n
GRVL           n
GRVL/ASP       n
GRVL/CLAY      n
GRVL/TURF      n
GRVL/TURF/SNOW n
OILED GRAVEL   n
OLD ASP        y
PACKED GRAVEL  y
SAND           n
SAND&GRAVEL    n
SAND/CLAY/GRAV n
SAND/GRAVEL    n
SAND/GRAVEL/AS n
SAND/GRVL      n
SOFT SAND      n
TREATED GRAVEL n
TREATED SAND   n
TURF           n
TURF/ASP       n
TURF/ASPHALT   n
TURF/CHIPSEAL  n
TURF/CLAY      n
TURF/EARTH     n
TURF/EARTH/GRA n
TURF/GRAVEL    n
TURF/GRAVEL/AS n
TURF/GRAVEL/CL n
TURF/GRAVEL/SN n
TURF/GRVL      n
TURF/SNOW      n
TURF/TREATED G n
